,0.0,0.067,0.133,0.2,0.267,0.333,0.4,0.467,0.52,0.59,0.67,0.76,0.83,0.91,0.98
0,2020-02-23 03:35:01.864,2020-03-07 22:42:37.407,2020-03-06 23:03:30.582,2020-03-05 23:24:23.758,2020-03-04 23:45:16.933,2020-03-02 22:45:41.368,2020-03-01 23:06:34.544,2020-02-29 23:27:27.720,2020-02-28 23:28:04.512,2020-02-27 23:54:01.783,2020-02-25 23:14:42.602,2020-02-25 00:11:04.448,2020-02-24 00:37:01.719,2020-02-24 02:38:40.018,2020-02-24 04:25:06.030
1,2020-02-24 04:55:30.605,2020-03-09 00:03:06.147,2020-03-08 00:23:59.323,2020-03-07 00:44:52.498,2020-03-06 01:05:45.674,2020-03-04 00:06:10.109,2020-03-03 00:27:03.284,2020-03-02 00:47:56.460,2020-03-01 00:48:33.252,2020-02-29 01:14:30.524,2020-02-27 00:35:11.342,2020-02-26 01:31:33.188,2020-02-25 01:57:30.460,2020-02-25 03:59:08.759,2020-03-09 23:11:48.397
2,2020-03-08 22:21:44.231,2020-03-10 01:23:34.888,2020-03-09 01:44:28.063,2020-03-08 02:05:21.239,2020-03-07 02:26:14.414,2020-03-05 01:26:38.849,2020-03-04 01:47:32.025,2020-03-03 02:08:25.201,2020-03-02 02:09:01.993,2020-03-01 02:34:59.264,2020-02-28 01:55:40.083,2020-02-27 02:52:01.929,2020-02-26 03:17:59.200,2020-03-10 22:45:51.126,2020-03-11 00:32:17.137
3,2020-03-09 23:42:12.972,2020-03-11 02:44:03.628,2020-03-10 03:04:56.804,2020-03-09 03:25:49.979,2020-03-08 03:46:43.155,2020-03-06 02:47:07.590,2020-03-05 03:08:00.765,2020-03-04 03:28:53.941,2020-03-03 03:29:30.733,2020-03-02 03:55:28.005,2020-02-29 03:16:08.823,2020-02-28 04:12:30.669,2020-02-27 04:38:27.941,2020-03-12 00:06:19.866,2020-03-12 01:52:45.878
4,2020-03-11 01:02:41.712,2020-03-12 04:04:32.369,2020-03-11 04:25:25.544,2020-03-10 04:46:18.720,2020-03-22 22:33:25.522,2020-03-07 04:07:36.330,2020-03-06 04:28:29.506,2020-03-05 04:49:22.681,2020-03-04 04:49:59.474,2020-03-16 22:42:10.371,2020-03-01 04:36:37.563,2020-03-13 22:59:13.036,2020-03-11 22:04:41.567,2020-03-13 01:26:48.606,2020-03-13 03:13:14.618
5,2020-03-12 02:23:10.453,2020-03-25 21:30:45.995,2020-03-24 21:51:39.170,2020-03-23 22:12:32.346,2020-03-23 23:53:54.262,2020-03-20 21:33:49.957,2020-03-19 21:54:43.132,2020-03-18 22:15:36.308,2020-03-17 22:16:13.100,2020-03-18 00:02:39.112,2020-03-14 22:02:51.190,2020-03-15 00:19:41.776,2020-03-12 23:25:10.307,2020-03-14 02:47:17.347,2020-03-14 04:33:43.359
6,2020-03-13 03:43:39.193,2020-03-26 22:51:14.735,2020-03-25 23:12:07.911,2020-03-24 23:33:01.086,2020-03-25 01:14:23.003,2020-03-21 22:54:18.697,2020-03-20 23:15:11.873,2020-03-19 23:36:05.048,2020-03-18 23:36:41.841,2020-03-19 01:23:07.852,2020-03-15 23:23:19.930,2020-03-16 01:40:10.517,2020-03-14 00:45:39.048,2020-03-15 04:07:46.087,2020-03-27 21:59:56.985
7,2020-03-26 21:09:52.819,2020-03-28 00:11:43.476,2020-03-27 00:32:36.651,2020-03-26 00:53:29.827,2020-03-26 02:34:51.743,2020-03-23 00:14:47.438,2020-03-22 00:35:40.613,2020-03-21 00:56:33.789,2020-03-20 00:57:10.581,2020-03-20 02:43:36.593,2020-03-17 00:43:48.671,2020-03-17 03:00:39.257,2020-03-15 02:06:07.788,2020-03-28 21:33:59.714,2020-03-28 23:20:25.725
8,2020-03-27 22:30:21.560,2020-03-29 01:32:12.216,2020-03-28 01:53:05.392,2020-03-27 02:13:58.567,2020-03-27 03:55:20.483,2020-03-24 01:35:16.178,2020-03-23 01:56:09.354,2020-03-22 02:17:02.529,2020-03-21 02:17:39.322,2020-03-21 04:04:05.333,2020-03-18 02:04:17.411,2020-03-18 04:21:07.998,2020-03-16 03:26:36.529,2020-03-29 22:54:28.454,2020-03-30 00:40:54.466
9,2020-03-28 23:50:50.300,2020-03-30 02:52:40.957,2020-03-29 03:13:34.132,2020-03-28 03:34:27.308,2020-04-09 21:21:34.110,2020-03-25 02:55:44.919,2020-03-24 03:16:38.094,2020-03-23 03:37:31.270,2020-03-22 03:38:08.062,2020-04-03 21:30:18.960,2020-03-19 03:24:46.152,2020-03-31 21:47:21.624,2020-03-29 20:52:50.155,2020-03-31 00:14:57.195,2020-03-31 02:01:23.206
10,2020-03-30 01:11:19.041,2020-03-31 04:13:09.697,2020-04-11 20:39:47.759,2020-04-10 21:00:40.934,2020-04-10 22:42:02.850,2020-03-26 04:16:13.659,2020-04-06 20:42:51.720,2020-04-05 21:03:44.896,2020-04-04 21:04:21.688,2020-04-04 22:50:47.700,2020-04-01 20:50:59.778,2020-04-01 23:07:50.365,2020-03-30 22:13:18.895,2020-04-01 01:35:25.935,2020-04-01 03:21:51.947
11,2020-03-31 02:31:47.781,2020-04-12 20:18:54.583,2020-04-12 22:00:16.499,2020-04-11 22:21:09.675,2020-04-12 00:02:31.591,2020-04-07 20:21:58.545,2020-04-07 22:03:20.461,2020-04-06 22:24:13.636,2020-04-05 22:24:50.429,2020-04-06 00:11:16.441,2020-04-02 22:11:28.518,2020-04-03 00:28:19.105,2020-03-31 23:33:47.636,2020-04-02 02:55:54.676,2020-04-14 20:48:05.573
12,2020-04-01 03:52:16.522,2020-04-13 21:39:23.324,2020-04-13 23:20:45.240,2020-04-12 23:41:38.415,2020-04-13 01:23:00.331,2020-04-08 21:42:27.285,2020-04-08 23:23:49.201,2020-04-07 23:44:42.377,2020-04-06 23:45:19.169,2020-04-07 01:31:45.181,2020-04-03 23:31:57.259,2020-04-04 01:48:47.845,2020-04-02 00:54:16.376,2020-04-03 04:16:23.416,2020-04-15 22:08:34.314
13,2020-04-13 19:58:01.408,2020-04-14 22:59:52.064,2020-04-15 00:41:13.980,2020-04-14 01:02:07.156,2020-04-14 02:43:29.072,2020-04-09 23:02:56.026,2020-04-10 00:44:17.942,2020-04-09 01:05:11.117,2020-04-08 01:05:47.910,2020-04-08 02:52:13.922,2020-04-05 00:52:25.999,2020-04-05 03:09:16.586,2020-04-03 02:14:45.117,2020-04-15 20:22:08.302,
14,2020-04-14 21:18:30.148,,,2020-04-15 02:22:35.896,2020-04-15 04:03:57.812,2020-04-11 00:23:24.766,2020-04-11 02:04:46.682,2020-04-10 02:25:39.858,2020-04-09 02:26:16.650,2020-04-09 04:12:42.662,2020-04-06 02:12:54.740,,2020-04-04 03:35:13.857,,
15,,,,,,2020-04-12 01:43:53.507,2020-04-12 03:25:15.423,2020-04-11 03:46:08.598,2020-04-10 03:46:45.391,,2020-04-07 03:33:23.480,,,,
16,,,,,,2020-04-13 03:04:22.247,,,,,,,,,
